mode,item_id,item_role,theater_family,actor_label,main_score,lane,card_type,source_ids,declared_axes,item_primary_weight_per_axis,item_max_weight_per_axis,family_scored_primary_numerator_per_axis,mode_primary_denominator_per_axis,family_scored_max_numerator_per_axis,mode_max_denominator_per_axis,activism_family_share,escalation_family_share,alliance_family_share,legitimacy_family_share,one_third_pass,review_status
standard,iran_ceasefire_core,new_scored,iran,neutral,true,deterrence,explanation,I01;I02;I06;I10,activism;escalation;alliance;legitimacy,1,1,1,9,1,9,0.111111,0.111111,0.111111,0.111111,true,v5_beta_candidate
standard,iran_tehran_leverage,new_actor_lens,iran,Tehran-aligned_groups,false,deterrence,actorLens,I06;I10,activism;escalation,0,0,1,9,1,9,0.111111,0.111111,0.111111,0.111111,true,v5_beta_candidate_actor_excluded
standard,iran_israel_gulf_thresholds,new_actor_lens,iran,Israel-US-Gulf,false,alliances,actorLens,I03;I08;I09;I12;I14,alliance;escalation,0,0,1,9,1,9,0.111111,0.111111,0.111111,0.111111,true,v5_beta_candidate_actor_excluded
standard,iran_mediator_navigation,new_actor_lens,iran,mediator-trading_state,false,legitimacy,actorLens,I06;I07-S1;I10,legitimacy;escalation,0,0,1,9,1,9,0.111111,0.111111,0.111111,0.111111,true,v5_beta_candidate_actor_excluded
standard,ukraine_ceasefire_stall,new_scored,ukraine,neutral,true,deterrence,explanation,U01;U03;U04;U05,activism;escalation,1,1,1,9,1,9,0.111111,0.111111,0.111111,0.111111,true,v5_beta_candidate
standard,ukraine_kyiv_security_architecture,new_actor_lens,ukraine,Kyiv,false,alliances,actorLens,U01;U03;U04,activism;escalation;alliance,0,0,1,9,1,9,0.111111,0.111111,0.111111,0.111111,true,v5_beta_candidate_actor_excluded
standard,ukraine_moscow_bargaining_tradeoff,new_actor_lens,ukraine,Moscow,false,deterrence,actorLens,U01;U05,activism;escalation,0,0,1,9,1,9,0.111111,0.111111,0.111111,0.111111,true,v5_beta_candidate_actor_excluded
standard,ukraine_external_division_of_labor,new_actor_lens,ukraine,external_coalition-non_belligerents,false,alliances,actorLens,U01;U08;U10;U12,escalation;alliance;legitimacy,0,0,1,9,1,9,0.111111,0.111111,0.111111,0.111111,true,v5_beta_candidate_actor_excluded
analyst,gray_zone_sabotage,retained_scored,euro_atlantic,neutral,true,deterrence,explanation,SAx,activism;escalation,1,1.45,2,13,2.9,18.85,0.153846,0.153846,0.153846,0.153846,true,v5_beta_candidate
analyst,eastern_flank,retained_scored,euro_atlantic,neutral,true,alliances,decision,SAx,activism;escalation;alliance,1,1.45,2,13,2.9,18.85,0.153846,0.153846,0.153846,0.153846,true,v5_beta_candidate
analyst,maritime_pressure,retained_scored,indo_pacific_non_taiwan,small_state,true,alliances,decision,SAx,alliance;legitimacy,1,1.45,1,13,1.45,18.85,0.076923,0.076923,0.076923,0.076923,true,v5_beta_candidate
analyst,middle_power_alignment,retained_actor_lens,china_india,middle_power,false,alliances,actorLens,SAx,alliance,0,0,0,13,0,18.85,0,0,0,0,true,v5_beta_candidate_actor_excluded
analyst,atrocity_response,retained_scored,trans_theater_protection,neutral,true,legitimacy,decision,SAx,activism;legitimacy,1,1.45,2,13,2.9,18.85,0.153846,0.153846,0.153846,0.153846,true,v5_beta_candidate
analyst,aid_corridor,retained_scored,trans_theater_protection,neutral,true,legitimacy,decision,SAx,activism;legitimacy,1,1.45,2,13,2.9,18.85,0.153846,0.153846,0.153846,0.153846,true,v5_beta_candidate
analyst,ceasefire_accountability,retained_scored,generic_mediation,neutral,true,legitimacy,explanation,SAx,legitimacy,1,1.45,1,13,1.45,18.85,0.076923,0.076923,0.076923,0.076923,true,v5_beta_candidate
analyst,nuclear_hedging,retained_scored,generic_nonproliferation,guarantor_state,true,alliances,decision,SAx,escalation;alliance,1,1.45,1,13,1.45,18.85,0.076923,0.076923,0.076923,0.076923,true,v5_beta_candidate
analyst,patron_trust_gap,retained_scored,generic_patronage,partner_state,true,alliances,decision,SAx,alliance,1,1.45,1,13,1.45,18.85,0.076923,0.076923,0.076923,0.076923,true,v5_beta_candidate
analyst,sanctions_enforcement,retained_scored,generic_economic_coercion,swing_states,true,legitimacy,explanation,SAx,alliance;legitimacy,1,1.45,1,13,1.45,18.85,0.076923,0.076923,0.076923,0.076923,true,v5_beta_candidate
analyst,selective_enforcement_memory,retained_scored,generic_postcolonial_order,post_colonial_caucus,true,legitimacy,explanation,SAx,alliance;legitimacy,1,1.45,1,13,1.45,18.85,0.076923,0.076923,0.076923,0.076923,true,v5_beta_candidate
analyst,taiwan_inspection_regime_core,new_scored,taiwan,neutral,true,deterrence,explanation,T01;T02;T03;T05,activism;escalation;alliance,1,1.45,1,13,1.45,18.85,0.076923,0.076923,0.076923,0.076923,true,v5_beta_candidate
analyst,taiwan_beijing_instrument,new_actor_lens,taiwan,Beijing,false,deterrence,actorLens,T01;T02;T05,activism;escalation,0,0,1,13,1.45,18.85,0.076923,0.076923,0.076923,0.076923,true,v5_beta_candidate_actor_excluded
analyst,taiwan_taipei_continuity,new_actor_lens,taiwan,Taipei,false,deterrence,actorLens,T03,activism;escalation;alliance,0,0,1,13,1.45,18.85,0.076923,0.076923,0.076923,0.076923,true,v5_beta_candidate_actor_excluded
analyst,taiwan_washington_coalition,new_actor_lens,taiwan,Washington-regional_coalition,false,alliances,actorLens,T07;T08;T09;T10,escalation;alliance,0,0,1,13,1.45,18.85,0.076923,0.076923,0.076923,0.076923,true,v5_beta_candidate_actor_excluded
analyst,iran_ceasefire_core,new_scored,iran,neutral,true,deterrence,explanation,I01;I02;I06;I10,activism;escalation;alliance;legitimacy,1,1.45,1,13,1.45,18.85,0.076923,0.076923,0.076923,0.076923,true,v5_beta_candidate
analyst,iran_tehran_leverage,new_actor_lens,iran,Tehran-aligned_groups,false,deterrence,actorLens,I06;I10,activism;escalation,0,0,1,13,1.45,18.85,0.076923,0.076923,0.076923,0.076923,true,v5_beta_candidate_actor_excluded
analyst,iran_israel_gulf_thresholds,new_actor_lens,iran,Israel-US-Gulf,false,alliances,actorLens,I03;I08;I09;I12;I14,alliance;escalation,0,0,1,13,1.45,18.85,0.076923,0.076923,0.076923,0.076923,true,v5_beta_candidate_actor_excluded
analyst,iran_mediator_navigation,new_actor_lens,iran,mediator-trading_state,false,legitimacy,actorLens,I06;I07-S1;I10,legitimacy;escalation,0,0,1,13,1.45,18.85,0.076923,0.076923,0.076923,0.076923,true,v5_beta_candidate_actor_excluded
analyst,ukraine_ceasefire_stall,new_scored,ukraine,neutral,true,deterrence,explanation,U01;U03;U04;U05,activism;escalation,1,1.45,1,13,1.45,18.85,0.076923,0.076923,0.076923,0.076923,true,v5_beta_candidate
analyst,ukraine_kyiv_security_architecture,new_actor_lens,ukraine,Kyiv,false,alliances,actorLens,U01;U03;U04,activism;escalation;alliance,0,0,1,13,1.45,18.85,0.076923,0.076923,0.076923,0.076923,true,v5_beta_candidate_actor_excluded
analyst,ukraine_moscow_bargaining_tradeoff,new_actor_lens,ukraine,Moscow,false,deterrence,actorLens,U01;U05,activism;escalation,0,0,1,13,1.45,18.85,0.076923,0.076923,0.076923,0.076923,true,v5_beta_candidate_actor_excluded
analyst,ukraine_external_division_of_labor,new_actor_lens,ukraine,external_coalition-non_belligerents,false,alliances,actorLens,U01;U08;U10;U12,escalation;alliance;legitimacy,0,0,1,13,1.45,18.85,0.076923,0.076923,0.076923,0.076923,true,v5_beta_candidate_actor_excluded
